算法,mAP,μAP,哈希大小,时间戳
Average Hash (aHash),0.636848,0.384667,8,20250325_035521
Perceptual Hash (pHash),0.558929,0.555406,8,20250325_035521
Difference Hash (dHash),0.556139,0.552622,8,20250325_035521
Wavelet Hash (wHash),0.579584,0.537160,8,20250325_035521
Color Hash (cHash),0.400819,0.281854,8,20250325_035521
Marr-Hildreth Hash (mhHash),0.443285,0.431269,8,20250325_035521
